TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,42865.9,42867.8,42832.8,42847.9,269,70,0
2025-06-10 23:01:00,42847.9,42854.7,42840.9,42853.7,175,100,0
2025-06-10 23:02:00,42853.7,42853.7,42842.5,42844.6,92,100,0
2025-06-10 23:03:00,42844.5,42847.2,42837.0,42837.2,95,100,0
2025-06-10 23:04:00,42838.0,42844.5,42836.4,42837.6,78,110,0
2025-06-10 23:05:00,42837.0,42838.2,42831.2,42833.8,78,110,0
2025-06-10 23:06:00,42833.8,42834.0,42827.4,42832.0,60,100,0
2025-06-10 23:07:00,42832.1,42838.9,42831.0,42834.1,71,100,0
2025-06-10 23:08:00,42834.1,42839.4,42833.8,42835.4,42,110,0
2025-06-10 23:09:00,42835.2,42835.4,42831.7,42832.6,35,100,0
2025-06-10 23:10:00,42832.5,42832.5,42823.3,42823.4,27,100,0
2025-06-10 23:11:00,42823.1,42825.0,42819.9,42825.0,38,100,0
2025-06-10 23:12:00,42826.0,42826.9,42821.1,42821.9,45,110,0
2025-06-10 23:13:00,42821.4,42821.6,42812.6,42816.6,35,100,0
2025-06-10 23:14:00,42816.0,42816.4,42806.8,42808.8,36,110,0
2025-06-10 23:15:00,42808.7,42818.8,42808.7,42817.2,31,100,0
2025-06-10 23:16:00,42818.0,42823.9,42818.0,42822.8,30,110,0
2025-06-10 23:17:00,42822.9,42824.6,42821.9,42822.7,30,110,0
2025-06-10 23:18:00,42822.5,42852.8,42822.5,42848.2,141,100,0
2025-06-10 23:19:00,42849.5,42854.8,42836.1,42840.8,68,100,0
2025-06-10 23:20:00,42838.9,42841.6,42832.8,42836.8,40,100,0
2025-06-10 23:21:00,42837.4,42845.5,42837.4,42842.9,31,100,0
2025-06-10 23:22:00,42842.8,42842.8,42835.8,42835.8,22,100,0
2025-06-10 23:23:00,42836.0,42838.3,42835.9,42837.8,13,110,0
2025-06-10 23:24:00,42837.6,42837.6,42833.4,42834.5,27,100,0
2025-06-10 23:25:00,42834.9,42837.1,42833.6,42837.1,31,110,0
2025-06-10 23:26:00,42837.2,42840.7,42837.2,42840.4,21,100,0
2025-06-10 23:27:00,42840.0,42840.5,42838.4,42840.1,13,110,0
2025-06-10 23:28:00,42840.6,42842.6,42838.2,42838.4,25,100,0
2025-06-10 23:29:00,42837.6,42838.1,42830.6,42831.7,28,90,0
2025-06-10 23:30:00,42831.6,42837.6,42829.2,42837.6,24,100,0
2025-06-10 23:31:00,42837.3,42837.3,42834.3,42836.2,16,100,0
2025-06-10 23:32:00,42836.0,42837.1,42834.0,42836.6,14,110,0
2025-06-10 23:33:00,42835.7,42836.6,42834.9,42835.7,9,110,0
2025-06-10 23:34:00,42836.6,42837.4,42835.3,42837.4,11,110,0
2025-06-10 23:35:00,42837.8,42839.3,42835.3,42839.3,23,100,0
2025-06-10 23:36:00,42840.7,42842.9,42840.7,42842.9,15,100,0
2025-06-10 23:37:00,42842.4,42842.4,42839.1,42840.4,15,100,0
2025-06-10 23:38:00,42840.3,42842.1,42837.0,42840.0,15,100,0
2025-06-10 23:39:00,42839.6,42841.6,42838.9,42840.6,19,100,0
2025-06-10 23:40:00,42840.5,42842.2,42837.9,42840.6,30,100,0
2025-06-10 23:41:00,42839.3,42844.3,42837.4,42843.5,27,100,0
2025-06-10 23:42:00,42843.6,42844.3,42842.7,42844.1,12,110,0
2025-06-10 23:43:00,42844.7,42846.4,42843.4,42843.4,26,100,0
2025-06-10 23:44:00,42843.7,42843.7,42840.3,42840.4,30,110,0
2025-06-10 23:45:00,42840.3,42841.3,42836.4,42836.4,22,110,0
2025-06-10 23:46:00,42835.9,42837.9,42833.9,42836.6,20,110,0
2025-06-10 23:47:00,42836.6,42837.4,42835.9,42836.6,16,100,0
2025-06-10 23:48:00,42835.9,42839.2,42832.7,42839.2,17,100,0
2025-06-10 23:49:00,42839.3,42842.3,42839.3,42840.0,16,110,0
2025-06-10 23:50:00,42837.6,42837.6,42830.9,42834.3,20,100,0
2025-06-10 23:51:00,42832.7,42838.5,42830.3,42838.0,25,100,0
2025-06-10 23:52:00,42836.6,42836.6,42833.5,42834.6,20,100,0
2025-06-10 23:53:00,42834.3,42837.6,42833.7,42835.2,17,100,0
2025-06-10 23:54:00,42834.7,42836.2,42834.4,42835.4,16,100,0
2025-06-10 23:55:00,42835.7,42839.1,42832.9,42839.1,23,100,0
2025-06-10 23:56:00,42838.8,42839.6,42838.1,42838.6,11,100,0
2025-06-10 23:57:00,42838.6,42839.1,42838.1,42838.3,8,110,0
2025-06-10 23:58:00,42838.1,42840.0,42838.0,42838.2,10,100,0
2025-06-10 23:59:00,42838.1,42838.1,42832.8,42832.8,26,110,0
2025-06-11 01:00:00,42834.52,42847.9,42831.52,42847.9,67,100,0
2025-06-11 01:01:00,42849.2,42850.6,42844.0,42847.1,26,100,0
2025-06-11 01:02:00,42847.3,42848.1,42845.1,42846.7,13,110,0
2025-06-11 01:03:00,42847.4,42847.4,42840.7,42840.8,16,100,0
2025-06-11 01:04:00,42839.4,42839.6,42839.4,42839.4,9,110,0
2025-06-11 01:05:00,42839.7,42844.4,42839.7,42843.1,25,110,0
2025-06-11 01:06:00,42843.1,42848.0,42843.0,42847.6,10,110,0
2025-06-11 01:07:00,42848.6,42850.6,42848.6,42849.6,5,110,0
2025-06-11 01:08:00,42849.6,42849.6,42849.6,42849.6,1,110,0
2025-06-11 01:09:00,42847.1,42847.1,42841.0,42846.1,13,110,0
2025-06-11 01:10:00,42846.3,42846.8,42844.4,42846.8,7,110,0
2025-06-11 01:11:00,42846.9,42850.1,42844.5,42844.5,19,100,0
2025-06-11 01:12:00,42845.3,42846.2,42842.2,42846.2,8,110,0
2025-06-11 01:13:00,42845.9,42846.9,42845.9,42846.4,4,110,0
2025-06-11 01:14:00,42845.8,42847.6,42845.8,42846.9,10,100,0
2025-06-11 01:15:00,42845.9,42847.3,42845.6,42847.3,6,110,0
2025-06-11 01:16:00,42847.3,42848.6,42847.3,42848.6,4,110,0
2025-06-11 01:17:00,42848.6,42849.6,42848.6,42849.6,2,110,0
2025-06-11 01:18:00,42850.7,42850.8,42847.2,42847.2,8,100,0
2025-06-11 01:19:00,42847.6,42848.1,42847.6,42848.1,2,110,0
2025-06-11 01:20:00,42848.0,42848.0,42845.2,42846.7,6,100,0
2025-06-11 01:21:00,42847.4,42849.6,42846.7,42846.7,6,110,0
2025-06-11 01:22:00,42846.1,42846.1,42844.6,42845.9,5,100,0
2025-06-11 01:23:00,42844.7,42844.7,42841.3,42842.1,8,110,0
2025-06-11 01:24:00,42842.2,42845.2,42842.2,42844.8,4,110,0
2025-06-11 01:25:00,42844.8,42850.1,42844.4,42850.1,8,110,0
2025-06-11 01:26:00,42850.8,42855.8,42850.8,42853.1,15,110,0
2025-06-11 01:27:00,42853.2,42854.2,42851.4,42854.1,11,100,0
2025-06-11 01:28:00,42853.0,42853.1,42845.9,42846.1,16,100,0
2025-06-11 01:29:00,42846.2,42846.4,42841.1,42841.1,18,100,0
2025-06-11 01:30:00,42841.1,42841.1,42837.6,42840.7,23,100,0
2025-06-11 01:31:00,42840.6,42840.6,42838.5,42838.5,5,110,0
2025-06-11 01:32:00,42838.6,42838.6,42834.1,42837.1,13,100,0
2025-06-11 01:33:00,42836.9,42836.9,42834.8,42834.8,7,100,0
2025-06-11 01:34:00,42834.4,42838.3,42834.0,42838.3,9,100,0
2025-06-11 01:35:00,42838.3,42840.8,42838.0,42840.6,23,100,0
2025-06-11 01:36:00,42840.4,42840.4,42838.6,42840.1,7,110,0
2025-06-11 01:37:00,42840.4,42841.1,42840.4,42841.1,4,110,0
2025-06-11 01:38:00,42840.8,42842.9,42840.8,42841.6,9,110,0
2025-06-11 01:39:00,42841.6,42841.7,42841.1,42841.1,4,110,0
2025-06-11 01:40:00,42840.8,42848.8,42840.8,42848.1,18,110,0
2025-06-11 01:41:00,42848.3,42848.6,42848.1,42848.6,4,110,0
2025-06-11 01:42:00,42848.2,42848.6,42848.2,42848.6,3,110,0
2025-06-11 01:43:00,42848.6,42848.6,42845.6,42845.6,7,100,0
2025-06-11 01:44:00,42845.0,42845.1,42844.9,42844.9,3,100,0
2025-06-11 01:45:00,42845.1,42846.6,42845.1,42846.6,3,110,0
