TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,21939.25,21939.25,21910.95,21920.75,447,100,0
2025-06-10 23:01:00,21920.05,21929.95,21917.0,21927.3,412,100,0
2025-06-10 23:02:00,21927.45,21927.45,21917.6,21919.65,356,100,0
2025-06-10 23:03:00,21919.25,21925.4,21918.5,21918.65,339,100,0
2025-06-10 23:04:00,21918.65,21925.1,21918.4,21921.1,332,100,0
2025-06-10 23:05:00,21920.4,21923.2,21915.8,21919.5,305,100,0
2025-06-10 23:06:00,21919.5,21920.55,21912.95,21915.0,290,105,0
2025-06-10 23:07:00,21915.0,21918.55,21913.35,21918.55,277,100,0
2025-06-10 23:08:00,21918.55,21920.75,21917.05,21918.25,213,100,0
2025-06-10 23:09:00,21918.3,21921.4,21917.05,21919.55,198,100,0
2025-06-10 23:10:00,21919.75,21920.05,21913.7,21913.85,229,100,0
2025-06-10 23:11:00,21914.05,21916.3,21912.65,21914.95,230,100,0
2025-06-10 23:12:00,21915.65,21918.55,21913.3,21916.0,233,100,0
2025-06-10 23:13:00,21916.05,21916.3,21911.0,21914.25,232,100,0
2025-06-10 23:14:00,21914.15,21914.55,21910.05,21912.6,241,100,0
2025-06-10 23:15:00,21912.2,21917.5,21912.2,21916.95,194,100,0
2025-06-10 23:16:00,21917.05,21921.6,21917.0,21921.05,206,100,0
2025-06-10 23:17:00,21921.3,21923.45,21919.6,21920.9,210,100,0
2025-06-10 23:18:00,21920.8,21941.15,21920.35,21938.35,348,100,0
2025-06-10 23:19:00,21938.55,21943.55,21930.4,21931.15,334,100,0
2025-06-10 23:20:00,21931.35,21933.25,21927.75,21931.0,240,100,0
2025-06-10 23:21:00,21931.0,21938.0,21931.0,21936.65,223,100,0
2025-06-10 23:22:00,21936.6,21936.6,21931.95,21931.95,140,100,0
2025-06-10 23:23:00,21931.8,21934.1,21931.5,21932.25,126,100,0
2025-06-10 23:24:00,21932.2,21932.8,21927.8,21928.4,235,100,0
2025-06-10 23:25:00,21928.45,21928.9,21925.75,21927.25,204,100,0
2025-06-10 23:26:00,21927.5,21930.7,21927.15,21929.9,138,100,0
2025-06-10 23:27:00,21929.85,21929.85,21927.4,21928.85,126,100,0
2025-06-10 23:28:00,21929.15,21930.3,21927.25,21928.4,135,100,0
2025-06-10 23:29:00,21928.2,21928.35,21921.8,21923.0,173,100,0
2025-06-10 23:30:00,21922.7,21925.15,21919.25,21924.5,194,100,0
2025-06-10 23:31:00,21924.65,21925.0,21921.95,21923.2,129,100,0
2025-06-10 23:32:00,21923.2,21924.45,21921.55,21922.85,122,100,0
2025-06-10 23:33:00,21922.9,21923.3,21921.45,21923.15,112,100,0
2025-06-10 23:34:00,21923.15,21924.65,21922.85,21923.35,99,100,0
2025-06-10 23:35:00,21923.3,21925.9,21922.3,21925.75,100,100,0
2025-06-10 23:36:00,21925.75,21929.25,21925.75,21929.05,133,100,0
2025-06-10 23:37:00,21929.35,21929.35,21927.3,21928.45,113,100,0
2025-06-10 23:38:00,21928.3,21929.35,21926.5,21928.85,120,100,0
2025-06-10 23:39:00,21928.85,21929.4,21926.1,21927.3,101,100,0
2025-06-10 23:40:00,21927.2,21927.25,21923.35,21924.55,166,100,0
2025-06-10 23:41:00,21924.65,21926.15,21921.05,21925.15,168,100,0
2025-06-10 23:42:00,21925.15,21926.15,21924.75,21925.0,117,100,0
2025-06-10 23:43:00,21925.05,21928.15,21925.05,21926.9,139,100,0
2025-06-10 23:44:00,21926.95,21930.75,21926.6,21928.3,167,100,0
2025-06-10 23:45:00,21928.5,21930.55,21927.4,21927.8,151,100,0
2025-06-10 23:46:00,21927.6,21928.8,21925.05,21927.15,174,100,0
2025-06-10 23:47:00,21927.25,21927.8,21926.05,21927.6,120,100,0
2025-06-10 23:48:00,21927.05,21928.65,21925.05,21926.85,111,100,0
2025-06-10 23:49:00,21926.45,21927.95,21925.55,21925.8,100,105,0
2025-06-10 23:50:00,21925.7,21926.15,21923.2,21923.2,143,100,0
2025-06-10 23:51:00,21923.35,21927.7,21921.45,21925.65,186,100,0
2025-06-10 23:52:00,21925.65,21925.9,21922.95,21924.85,108,100,0
2025-06-10 23:53:00,21924.35,21927.9,21924.25,21926.25,127,100,0
2025-06-10 23:54:00,21926.25,21927.9,21925.95,21925.95,76,100,0
2025-06-10 23:55:00,21926.25,21927.6,21924.25,21927.45,130,100,0
2025-06-10 23:56:00,21927.5,21927.9,21925.75,21925.8,84,100,0
2025-06-10 23:57:00,21925.8,21926.6,21924.65,21926.1,156,100,0
2025-06-10 23:58:00,21925.95,21928.15,21925.55,21926.75,149,100,0
2025-06-10 23:59:00,21926.85,21926.9,21924.5,21925.1,180,100,0
2025-06-11 01:00:00,21921.05,21928.9,21917.55,21928.25,182,90,0
2025-06-11 01:01:00,21928.25,21931.0,21926.3,21929.5,140,90,0
2025-06-11 01:02:00,21929.6,21930.15,21926.6,21928.2,100,95,0
2025-06-11 01:03:00,21928.2,21929.0,21925.45,21926.2,72,90,0
2025-06-11 01:04:00,21926.1,21926.5,21924.55,21925.85,47,90,0
2025-06-11 01:05:00,21925.85,21926.9,21923.55,21924.95,78,95,0
2025-06-11 01:06:00,21925.45,21929.4,21925.25,21928.8,60,90,0
2025-06-11 01:07:00,21928.7,21930.85,21927.85,21928.5,90,90,0
2025-06-11 01:08:00,21928.7,21930.05,21928.55,21930.0,33,90,0
2025-06-11 01:09:00,21929.15,21929.25,21926.25,21929.15,45,90,0
2025-06-11 01:10:00,21929.3,21929.95,21927.4,21929.95,31,90,0
2025-06-11 01:11:00,21929.9,21932.05,21927.75,21928.1,67,90,0
2025-06-11 01:12:00,21928.1,21929.9,21927.0,21928.75,45,90,0
2025-06-11 01:13:00,21928.8,21929.75,21928.05,21928.45,29,90,0
2025-06-11 01:14:00,21928.45,21928.5,21927.55,21927.9,29,90,0
2025-06-11 01:15:00,21927.9,21929.9,21927.8,21929.4,35,90,0
2025-06-11 01:16:00,21928.75,21930.25,21928.4,21930.25,24,95,0
2025-06-11 01:17:00,21930.25,21932.3,21929.8,21931.85,38,95,0
2025-06-11 01:18:00,21931.85,21931.9,21929.2,21929.7,44,90,0
