TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,3328.88,3328.92,3322.4,3322.4,3934,4,0
2025-06-11 01:00:00,3322.96,3327.5,3320.37,3324.49,3190,5,0
2025-06-11 02:00:00,3324.49,3328.17,3315.53,3328.01,5124,5,0
2025-06-11 03:00:00,3328.01,3335.22,3325.1,3332.47,6370,5,0
2025-06-11 04:00:00,3332.47,3337.42,3327.67,3328.5,6991,5,0
2025-06-11 05:00:00,3328.47,3339.67,3327.17,3338.26,6100,5,0
2025-06-11 06:00:00,3338.29,3341.69,3336.46,3339.47,4246,5,0
2025-06-11 07:00:00,3339.47,3342.96,3336.98,3341.9,4301,5,0
2025-06-11 08:00:00,3341.88,3343.12,3335.52,3339.7,5660,5,0
2025-06-11 09:00:00,3339.7,3340.19,3332.52,3337.15,7220,3,0
2025-06-11 10:00:00,3337.34,3348.56,3335.23,3345.75,7137,5,0
2025-06-11 11:00:00,3345.75,3346.76,3342.53,3344.55,5800,4,0
2025-06-11 12:00:00,3344.55,3344.61,3331.43,3333.79,8202,5,0
2025-06-11 13:00:00,3333.8,3336.78,3328.6,3329.91,5960,5,0
