TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-10 23:00:00,3328.88,3328.92,3326.96,3327.24,411,5,0
2025-06-10 23:05:00,3327.24,3327.86,3326.11,3327.74,393,5,0
2025-06-10 23:10:00,3327.76,3328.78,3327.68,3328.0,414,5,0
2025-06-10 23:15:00,3328.0,3328.85,3325.77,3326.04,383,5,0
2025-06-10 23:20:00,3326.04,3326.25,3324.4,3325.5,435,5,0
2025-06-10 23:25:00,3325.5,3326.56,3324.79,3324.92,398,5,0
2025-06-10 23:30:00,3324.92,3326.45,3323.96,3324.21,330,4,0
2025-06-10 23:35:00,3324.21,3324.26,3322.88,3323.05,326,5,0
2025-06-10 23:40:00,3323.05,3323.52,3322.78,3323.49,248,11,0
2025-06-10 23:45:00,3323.49,3323.97,3322.74,3323.4,213,11,0
2025-06-10 23:50:00,3323.4,3323.71,3322.54,3322.76,184,11,0
2025-06-10 23:55:00,3322.76,3323.37,3322.4,3322.4,199,11,0
2025-06-11 01:00:00,3322.96,3322.96,3320.87,3322.36,240,7,0
2025-06-11 01:05:00,3322.36,3323.88,3322.36,3323.88,135,6,0
2025-06-11 01:10:00,3323.88,3324.55,3321.53,3321.56,298,6,0
2025-06-11 01:15:00,3321.56,3322.97,3321.24,3322.51,213,6,0
2025-06-11 01:20:00,3322.51,3323.69,3322.51,3322.56,116,5,0
2025-06-11 01:25:00,3322.56,3322.65,3320.37,3322.09,383,7,0
2025-06-11 01:30:00,3322.09,3323.43,3321.21,3322.85,377,6,0
2025-06-11 01:35:00,3322.85,3324.26,3322.8,3324.06,239,5,0
2025-06-11 01:40:00,3324.06,3327.11,3324.03,3327.11,402,5,0
2025-06-11 01:45:00,3327.11,3327.5,3324.54,3325.48,304,5,0
2025-06-11 01:50:00,3325.48,3325.7,3323.85,3324.49,279,5,0
2025-06-11 01:55:00,3324.49,3324.95,3323.92,3324.49,204,5,0
2025-06-11 02:00:00,3324.49,3325.28,3323.41,3324.21,235,5,0
2025-06-11 02:05:00,3324.13,3327.22,3324.11,3326.18,321,5,0
2025-06-11 02:10:00,3326.18,3326.67,3325.27,3325.74,304,5,0
2025-06-11 02:15:00,3325.74,3326.23,3322.03,3322.03,395,5,0
2025-06-11 02:20:00,3322.02,3322.46,3315.53,3320.85,884,10,0
2025-06-11 02:25:00,3320.85,3323.3,3319.12,3321.95,497,5,0
2025-06-11 02:30:00,3321.95,3322.85,3319.6,3321.34,375,5,0
2025-06-11 02:35:00,3321.34,3325.96,3321.34,3325.8,457,5,0
2025-06-11 02:40:00,3325.79,3326.38,3324.82,3325.49,342,5,0
2025-06-11 02:45:00,3325.49,3326.39,3324.45,3326.17,342,5,0
2025-06-11 02:50:00,3326.17,3327.97,3326.03,3326.3,526,6,0
2025-06-11 02:55:00,3326.3,3328.17,3325.76,3328.01,446,5,0
2025-06-11 03:00:00,3328.01,3328.14,3325.1,3325.39,525,5,0
2025-06-11 03:05:00,3325.39,3328.89,3325.39,3327.92,528,5,0
2025-06-11 03:10:00,3327.91,3330.32,3327.86,3328.48,581,6,0
2025-06-11 03:15:00,3328.48,3331.82,3328.37,3331.51,584,7,0
2025-06-11 03:20:00,3331.51,3333.88,3331.18,3331.51,582,5,0
2025-06-11 03:25:00,3331.55,3331.75,3330.2,3330.91,404,5,0
2025-06-11 03:30:00,3330.99,3332.78,3330.82,3332.14,468,5,0
2025-06-11 03:35:00,3332.14,3334.3,3330.44,3333.96,500,5,0
2025-06-11 03:40:00,3333.96,3335.22,3332.42,3333.37,651,5,0
2025-06-11 03:45:00,3333.39,3334.43,3332.52,3333.99,499,5,0
2025-06-11 03:50:00,3333.99,3334.11,3331.84,3332.01,553,5,0
2025-06-11 03:55:00,3332.0,3332.75,3331.32,3332.47,495,5,0
2025-06-11 04:00:00,3332.47,3333.51,3330.55,3330.88,695,5,0
2025-06-11 04:05:00,3330.88,3332.9,3330.45,3332.48,607,5,0
